Grade/Class,Skills,Interests,Hobbies,Passion,Favorite Subject,Recommended Career,Salary,Job Description,Job Security,Topics to Be Covered
B.Tech CSE,"Kubernetes, React, Azure, AWS",Software Engineering,Gaming,Building Intelligent Systems,Mathematics,Machine Learning Engineer,66849,Build and deploy ML models.,High,ML-DeepLearning-ModelDeployment
Diploma in Computer Engineering,"Node.js, Deep Learning, Kubernetes, AWS",App Development,Competitive Programming,Building Intelligent Systems,Computer Science,AR/VR Developer,89637,Create immersive AR/VR experiences.,High,Unity-3D Modeling-ARKit-VRSystems
BSc Information Technology,"CSS, Cloud Computing, C++, HTML",Cloud Computing,Debugging,Working with Data,Computer Science,Data Scientist,67325,Analyze and model data for insights.,Very High,Statistics-ML-DataVisualization
MTech Artificial Intelligence,"SQL, Docker, DevOps, React",Networking,Designing,Securing Networks,Physics,Backend Developer,118958,Manage server-side logic and databases.,High,Node-Python-Databases-APIs
Diploma in Computer Engineering,"Python, Node.js, React, Networking",Cloud Computing,Debugging,Working with Data,Computer Science,Network Engineer,114510,Maintain network systems and connectivity.,Very High,Routing-Switching-NetworkSecurity
B.E Information Science,"Data Structures, Deep Learning, SQL, Docker",Cloud Computing,Gaming,Securing Networks,Data Science,Cybersecurity Analyst,107201,Monitor and protect systems from cyber threats.,High,NetworkSecurity-Firewalls-EthicalHacking
BSc Information Technology,"Networking, SQL, Deep Learning, Node.js",Data Analytics,Designing,Automating Processes,Information Technology,Game Developer,135102,Build interactive video games.,Very High,Unity-C#-GamePhysics
B.Tech IT,"JavaScript, Node.js, Machine Learning, C++",UI/UX Design,Building Projects,Solving Problems,Mathematics,Frontend Developer,76149,Create interactive UI experiences.,Very High,HTML-CSS-JavaScript-React-UI Design
B.E Computer Science,"Kubernetes, Data Structures, Cloud Computing, JavaScript",Cloud Computing,Competitive Programming,Automating Processes,Data Science,AI Engineer,76948,Develop AI-powered applications.,Medium,AI-ML-NLP-DeepLearning
12th,"DevOps, Cloud Computing, Azure, Python",Web Development,Exploring Open Source,Creating Technology,Data Science,QA Automation Engineer,120634,Write automated test suites.,Very High,Selenium-PyTest-API Testing
MSc Computer Science,"CSS, AWS, Docker, Data Structures",AI,Exploring Open Source,Creating Technology,Electronics,Cybersecurity Analyst,128951,Monitor and protect systems from cyber threats.,Very High,NetworkSecurity-Firewalls-EthicalHacking
BSc Computer Science,"Machine Learning, Java, Python, Docker",Networking,Debugging,Automating Processes,Information Technology,AR/VR Developer,112333,Create immersive AR/VR experiences.,High,Unity-3D Modeling-ARKit-VRSystems
BSc Computer Science,"React, Kubernetes, Docker, Python",Cloud Computing,Competitive Programming,Building Intelligent Systems,Computer Science,Full Stack Developer,144352,Build both frontend and backend systems.,Very High,HTML-CSS-JS-React-Node-APIs
MTech Artificial Intelligence,"Python, Kubernetes, HTML, CSS",Machine Learning,Designing,Creating Technology,Information Technology,AI Engineer,72925,Develop AI-powered applications.,High,AI-ML-NLP-DeepLearning
BSc Computer Science,"C++, Cloud Computing, DevOps, Cybersecurity",Game Design,Reading Tech Blogs,Designing User Experiences,Electronics,Data Scientist,63869,Analyze and model data for insights.,Medium,Statistics-ML-DataVisualization
BSc Computer Science,"Java, Linux, JavaScript, Docker",Networking,Building Projects,Securing Networks,Physics,Machine Learning Engineer,89188,Build and deploy ML models.,High,ML-DeepLearning-ModelDeployment
BSc Computer Science,"Machine Learning, React, Deep Learning, C++",Software Engineering,Gaming,Securing Networks,Electronics,Cloud Engineer,102801,Design and maintain cloud infrastructure.,High,AWS-Azure-GCP-Docker-Kubernetes
B.Tech IT,"Cybersecurity, Node.js, HTML, Machine Learning",Ethical Hacking,Competitive Programming,Automating Processes,Computer Science,Mobile App Developer,102886,Create mobile applications.,Very High,Android-iOS-ReactNative
Diploma in Computer Engineering,"Cloud Computing, C++, Networking, Cybersecurity",Game Design,Designing,Working with Data,Information Technology,AR/VR Developer,89260,Create immersive AR/VR experiences.,Medium,Unity-3D Modeling-ARKit-VRSystems
B.E Information Science,"SQL, Python, C++, HTML",App Development,Building Projects,Solving Problems,Mathematics,QA Automation Engineer,80903,Write automated test suites.,Very High,Selenium-PyTest-API Testing
BSc Information Technology,"C++, HTML, AWS, Node.js",Machine Learning,Gaming,Creating Technology,Mathematics,Blockchain Developer,138366,Develop blockchain-based applications.,High,SmartContracts-Web3-Cryptography
Diploma in Computer Engineering,"Deep Learning, Python, Kubernetes, CSS",Ethical Hacking,Competitive Programming,Designing User Experiences,Physics,Network Engineer,102249,Maintain network systems and connectivity.,High,Routing-Switching-NetworkSecurity
B.Tech CSE,"Node.js, Kubernetes, CSS, React",Machine Learning,Building Projects,Developing Web Apps,Physics,Database Administrator,137220,Manage and secure databases.,Very High,SQL-NoSQL-DBSecurity
BSc Information Technology,"C++, AWS, Azure, React",Data Analytics,Debugging,Securing Networks,Mathematics,Cloud Engineer,137491,Design and maintain cloud infrastructure.,Medium,AWS-Azure-GCP-Docker-Kubernetes
MSc Computer Science,"JavaScript, React, Python, Data Structures",App Development,Coding,Creating Technology,Information Technology,Network Engineer,102694,Maintain network systems and connectivity.,High,Routing-Switching-NetworkSecurity
BSc Information Technology,"Azure, C++, SQL, JavaScript",App Development,Competitive Programming,Building Intelligent Systems,Information Technology,Full Stack Developer,75858,Build both frontend and backend systems.,Very High,HTML-CSS-JS-React-Node-APIs
BCA,"Node.js, Automation, Deep Learning, Java",Software Engineering,Exploring Open Source,Designing User Experiences,Electronics,AI Engineer,76223,Develop AI-powered applications.,Medium,AI-ML-NLP-DeepLearning
MTech Artificial Intelligence,"JavaScript, Automation, Data Structures, SQL",UI/UX Design,Competitive Programming,Developing Web Apps,Physics,Cybersecurity Analyst,64702,Monitor and protect systems from cyber threats.,Medium,NetworkSecurity-Firewalls-EthicalHacking
Diploma in Computer Engineering,"React, Machine Learning, Cloud Computing, Data Structures",AI,Debugging,Building Intelligent Systems,Mathematics,Full Stack Developer,68985,Build both frontend and backend systems.,Medium,HTML-CSS-JS-React-Node-APIs
10th,"Networking, HTML, Machine Learning, React",Machine Learning,Competitive Programming,Developing Web Apps,Physics,Backend Developer,101497,Manage server-side logic and databases.,Very High,Node-Python-Databases-APIs
10th,"Linux, AWS, JavaScript, Networking",Cloud Computing,Exploring Open Source,Securing Networks,Data Science,Network Engineer,147273,Maintain network systems and connectivity.,Medium,Routing-Switching-NetworkSecurity
MSc Computer Science,"React, C++, Docker, Cybersecurity",AI,Building Projects,Creating Technology,Mathematics,UI/UX Designer,78693,Design seamless user experiences.,Medium,Wireframing-Prototyping-DesignTools
BSc Information Technology,"Java, C++, React, Cybersecurity",Game Design,Exploring Open Source,Creating Technology,Information Technology,UI/UX Designer,80033,Design seamless user experiences.,Very High,Wireframing-Prototyping-DesignTools
BCA,"Automation, React, C++, Cloud Computing",UI/UX Design,Competitive Programming,Developing Web Apps,Electronics,Cloud Engineer,68046,Design and maintain cloud infrastructure.,Medium,AWS-Azure-GCP-Docker-Kubernetes
MTech Artificial Intelligence,"SQL, Node.js, Deep Learning, Data Structures",UI/UX Design,Designing,Securing Networks,Physics,Mobile App Developer,68490,Create mobile applications.,Very High,Android-iOS-ReactNative
B.Tech IT,"SQL, Linux, Python, Machine Learning",Software Engineering,Exploring Open Source,Developing Web Apps,Electronics,Blockchain Developer,146627,Develop blockchain-based applications.,Medium,SmartContracts-Web3-Cryptography
MSc Computer Science,"Docker, HTML, SQL, Machine Learning",Cloud Computing,Building Projects,Developing Web Apps,Information Technology,DevOps Engineer,117016,Automate CI/CD pipelines and system deployments.,High,Linux-CI/CD-Docker-Kubernetes
MTech Artificial Intelligence,"AWS, Docker, Data Structures, Azure",Software Engineering,Gaming,Solving Problems,Physics,Software Developer,115710,Develop and maintain software applications.,Very High,DSA-OOPs-Databases-APIs
B.Tech CSE,"DevOps, Networking, Deep Learning, JavaScript",Web Development,Competitive Programming,Developing Web Apps,Electronics,Machine Learning Engineer,96361,Build and deploy ML models.,High,ML-DeepLearning-ModelDeployment
MTech Data Science,"CSS, JavaScript, Node.js, Automation",Cloud Computing,Reading Tech Blogs,Building Intelligent Systems,Electronics,Software Developer,63656,Develop and maintain software applications.,Medium,DSA-OOPs-Databases-APIs
BSc Computer Science,"Kubernetes, HTML, Cybersecurity, JavaScript",Software Engineering,Designing,Automating Processes,Computer Science,Database Administrator,108825,Manage and secure databases.,High,SQL-NoSQL-DBSecurity
MCA,"Cloud Computing, Docker, Data Structures, Deep Learning",Machine Learning,Coding,Building Intelligent Systems,Data Science,AR/VR Developer,111295,Create immersive AR/VR experiences.,High,Unity-3D Modeling-ARKit-VRSystems
BSc Computer Science,"Networking, React, Data Structures, C++",Machine Learning,Coding,Working with Data,Physics,Software Developer,101385,Develop and maintain software applications.,Medium,DSA-OOPs-Databases-APIs
Diploma in Computer Engineering,"Kubernetes, Cybersecurity, Automation, Cloud Computing",Machine Learning,Competitive Programming,Solving Problems,Electronics,UI/UX Designer,117974,Design seamless user experiences.,High,Wireframing-Prototyping-DesignTools
12th,"JavaScript, Java, CSS, DevOps",App Development,Competitive Programming,Automating Processes,Information Technology,Blockchain Developer,69664,Develop blockchain-based applications.,Medium,SmartContracts-Web3-Cryptography
B.E Computer Science,"Automation, React, Linux, Python",Data Analytics,Designing,Automating Processes,Physics,Database Administrator,138554,Manage and secure databases.,High,SQL-NoSQL-DBSecurity
MTech Data Science,"Machine Learning, Deep Learning, C++, Cloud Computing",App Development,Gaming,Working with Data,Computer Science,Cloud Engineer,140943,Design and maintain cloud infrastructure.,Very High,AWS-Azure-GCP-Docker-Kubernetes
B.Tech CSE,"Docker, Deep Learning, HTML, C++",Ethical Hacking,Debugging,Solving Problems,Mathematics,Data Scientist,146352,Analyze and model data for insights.,High,Statistics-ML-DataVisualization
BCA,"Python, HTML, SQL, Machine Learning",Networking,Debugging,Automating Processes,Data Science,Mobile App Developer,73865,Create mobile applications.,High,Android-iOS-ReactNative
B.E Information Science,"Automation, Node.js, Deep Learning, Linux",Ethical Hacking,Debugging,Building Intelligent Systems,Data Science,DevOps Engineer,118898,Automate CI/CD pipelines and system deployments.,High,Linux-CI/CD-Docker-Kubernetes
12th,"Python, Cybersecurity, DevOps, CSS",Cloud Computing,Designing,Solving Problems,Computer Science,Cybersecurity Analyst,64213,Monitor and protect systems from cyber threats.,Medium,NetworkSecurity-Firewalls-EthicalHacking
BSc Information Technology,"Deep Learning, Azure, DevOps, Java",Networking,Debugging,Solving Problems,Mathematics,Network Engineer,99326,Maintain network systems and connectivity.,Medium,Routing-Switching-NetworkSecurity
B.Tech CSE,"DevOps, C++, Docker, Node.js",Game Design,Reading Tech Blogs,Working with Data,Electronics,AR/VR Developer,124854,Create immersive AR/VR experiences.,High,Unity-3D Modeling-ARKit-VRSystems
B.Tech CSE,"CSS, Networking, DevOps, Java",Ethical Hacking,Coding,Creating Technology,Mathematics,QA Automation Engineer,94491,Write automated test suites.,Very High,Selenium-PyTest-API Testing
MTech Data Science,"Kubernetes, Cybersecurity, Automation, JavaScript",Ethical Hacking,Coding,Working with Data,Computer Science,AI Engineer,102057,Develop AI-powered applications.,Medium,AI-ML-NLP-DeepLearning
B.E Information Science,"CSS, HTML, SQL, Azure",Ethical Hacking,Gaming,Designing User Experiences,Mathematics,Full Stack Developer,69811,Build both frontend and backend systems.,High,HTML-CSS-JS-React-Node-APIs
MTech Data Science,"AWS, Node.js, Azure, React",AI,Gaming,Designing User Experiences,Mathematics,DevOps Engineer,131704,Automate CI/CD pipelines and system deployments.,Medium,Linux-CI/CD-Docker-Kubernetes
10th,"Machine Learning, Azure, Java, CSS",Web Development,Exploring Open Source,Building Intelligent Systems,Computer Science,Game Developer,75777,Build interactive video games.,Medium,Unity-C#-GamePhysics
12th,"Machine Learning, Linux, Deep Learning, Cloud Computing",UI/UX Design,Exploring Open Source,Solving Problems,Computer Science,QA Automation Engineer,131025,Write automated test suites.,Very High,Selenium-PyTest-API Testing
B.Tech CSE,"Linux, Docker, Python, CSS",Game Design,Debugging,Developing Web Apps,Information Technology,Full Stack Developer,137633,Build both frontend and backend systems.,High,HTML-CSS-JS-React-Node-APIs
MTech Data Science,"Python, DevOps, C++, Deep Learning",UI/UX Design,Exploring Open Source,Automating Processes,Mathematics,Game Developer,74741,Build interactive video games.,High,Unity-C#-GamePhysics
BCA,"Networking, Linux, DevOps, Docker",Cloud Computing,Coding,Creating Technology,Physics,Software Developer,81925,Develop and maintain software applications.,High,DSA-OOPs-Databases-APIs
10th,"Docker, C++, Data Structures, Cloud Computing",Software Engineering,Debugging,Working with Data,Computer Science,Game Developer,61236,Build interactive video games.,High,Unity-C#-GamePhysics
B.E Information Science,"Python, CSS, Azure, Automation",AI,Gaming,Automating Processes,Computer Science,Mobile App Developer,138222,Create mobile applications.,Medium,Android-iOS-ReactNative
B.E Computer Science,"Azure, DevOps, Automation, Machine Learning",UI/UX Design,Designing,Building Intelligent Systems,Physics,Mobile App Developer,64668,Create mobile applications.,High,Android-iOS-ReactNative
BSc Computer Science,"Docker, C++, Kubernetes, Linux",Cloud Computing,Coding,Working with Data,Computer Science,UI/UX Designer,65116,Design seamless user experiences.,Very High,Wireframing-Prototyping-DesignTools
Diploma in Computer Engineering,"DevOps, Java, Networking, Azure",UI/UX Design,Competitive Programming,Automating Processes,Electronics,DevOps Engineer,61140,Automate CI/CD pipelines and system deployments.,Very High,Linux-CI/CD-Docker-Kubernetes
MSc Computer Science,"React, Node.js, Machine Learning, C++",Software Engineering,Gaming,Solving Problems,Computer Science,Mobile App Developer,143429,Create mobile applications.,Medium,Android-iOS-ReactNative
Diploma in Computer Engineering,"Cloud Computing, Java, Docker, DevOps",Game Design,Coding,Designing User Experiences,Mathematics,Cybersecurity Analyst,127988,Monitor and protect systems from cyber threats.,Medium,NetworkSecurity-Firewalls-EthicalHacking
B.Tech CSE,"Deep Learning, DevOps, CSS, React",Data Analytics,Building Projects,Designing User Experiences,Computer Science,Mobile App Developer,92353,Create mobile applications.,Very High,Android-iOS-ReactNative
BSc Computer Science,"Linux, Data Structures, SQL, Machine Learning",AI,Exploring Open Source,Solving Problems,Electronics,Blockchain Developer,126376,Develop blockchain-based applications.,Very High,SmartContracts-Web3-Cryptography
MCA,"Azure, Kubernetes, React, Networking",Data Analytics,Designing,Securing Networks,Computer Science,Software Developer,61742,Develop and maintain software applications.,Very High,DSA-OOPs-Databases-APIs
MCA,"Java, Cybersecurity, SQL, AWS",Game Design,Designing,Solving Problems,Computer Science,Cloud Engineer,145730,Design and maintain cloud infrastructure.,High,AWS-Azure-GCP-Docker-Kubernetes
10th,"JavaScript, Deep Learning, Automation, Python",Game Design,Reading Tech Blogs,Designing User Experiences,Mathematics,Mobile App Developer,106084,Create mobile applications.,High,Android-iOS-ReactNative
10th,"SQL, Cloud Computing, Networking, Python",App Development,Building Projects,Building Intelligent Systems,Physics,AR/VR Developer,145982,Create immersive AR/VR experiences.,Medium,Unity-3D Modeling-ARKit-VRSystems
BSc Computer Science,"CSS, Data Structures, JavaScript, Java",AI,Building Projects,Securing Networks,Electronics,Cybersecurity Analyst,133283,Monitor and protect systems from cyber threats.,Very High,NetworkSecurity-Firewalls-EthicalHacking
BSc Information Technology,"C++, React, Data Structures, Python",Game Design,Competitive Programming,Building Intelligent Systems,Physics,Data Scientist,136729,Analyze and model data for insights.,Medium,Statistics-ML-DataVisualization
B.Tech IT,"Machine Learning, Cloud Computing, Automation, Docker",Cloud Computing,Exploring Open Source,Building Intelligent Systems,Information Technology,Game Developer,119100,Build interactive video games.,Very High,Unity-C#-GamePhysics
BCA,"AWS, Python, Deep Learning, Azure",UI/UX Design,Coding,Securing Networks,Data Science,Full Stack Developer,123621,Build both frontend and backend systems.,Medium,HTML-CSS-JS-React-Node-APIs
10th,"Node.js, Java, CSS, Data Structures",Web Development,Competitive Programming,Designing User Experiences,Computer Science,Data Scientist,66210,Analyze and model data for insights.,High,Statistics-ML-DataVisualization
10th,"JavaScript, Kubernetes, DevOps, Cybersecurity",Ethical Hacking,Gaming,Working with Data,Electronics,AR/VR Developer,113388,Create immersive AR/VR experiences.,Medium,Unity-3D Modeling-ARKit-VRSystems
Diploma in Computer Engineering,"Networking, JavaScript, Data Structures, Machine Learning",App Development,Coding,Building Intelligent Systems,Information Technology,Data Scientist,91460,Analyze and model data for insights.,High,Statistics-ML-DataVisualization
B.E Computer Science,"HTML, Cybersecurity, DevOps, CSS",Game Design,Coding,Building Intelligent Systems,Mathematics,Data Scientist,147832,Analyze and model data for insights.,Very High,Statistics-ML-DataVisualization
Diploma in Computer Engineering,"HTML, React, SQL, AWS",Cloud Computing,Reading Tech Blogs,Building Intelligent Systems,Electronics,Cloud Engineer,145885,Design and maintain cloud infrastructure.,Medium,AWS-Azure-GCP-Docker-Kubernetes
B.E Information Science,"Deep Learning, Azure, Automation, Linux",Ethical Hacking,Reading Tech Blogs,Designing User Experiences,Mathematics,Blockchain Developer,133478,Develop blockchain-based applications.,High,SmartContracts-Web3-Cryptography
MCA,"Automation, AWS, Machine Learning, Kubernetes",Game Design,Designing,Automating Processes,Computer Science,Cloud Engineer,92893,Design and maintain cloud infrastructure.,Medium,AWS-Azure-GCP-Docker-Kubernetes
B.Tech CSE,"AWS, Python, Azure, Linux",Machine Learning,Gaming,Developing Web Apps,Electronics,Data Scientist,78828,Analyze and model data for insights.,Medium,Statistics-ML-DataVisualization
MTech Data Science,"SQL, DevOps, C++, Cloud Computing",Web Development,Designing,Securing Networks,Physics,UI/UX Designer,68606,Design seamless user experiences.,High,Wireframing-Prototyping-DesignTools
MTech Artificial Intelligence,"JavaScript, Azure, Java, Machine Learning",Web Development,Gaming,Working with Data,Computer Science,DevOps Engineer,148168,Automate CI/CD pipelines and system deployments.,High,Linux-CI/CD-Docker-Kubernetes
Diploma in Computer Engineering,"AWS, Kubernetes, Machine Learning, Deep Learning",AI,Designing,Creating Technology,Data Science,Machine Learning Engineer,99471,Build and deploy ML models.,Very High,ML-DeepLearning-ModelDeployment
B.Tech CSE,"Java, HTML, Linux, Deep Learning",Ethical Hacking,Exploring Open Source,Developing Web Apps,Information Technology,Data Scientist,126457,Analyze and model data for insights.,High,Statistics-ML-DataVisualization
10th,"SQL, Machine Learning, AWS, Cloud Computing",AI,Designing,Developing Web Apps,Mathematics,Data Scientist,90552,Analyze and model data for insights.,Medium,Statistics-ML-DataVisualization
10th,"AWS, Linux, HTML, Cloud Computing",Software Engineering,Coding,Securing Networks,Data Science,Software Developer,101357,Develop and maintain software applications.,High,DSA-OOPs-Databases-APIs
BSc Information Technology,"CSS, Networking, Docker, React",Machine Learning,Exploring Open Source,Developing Web Apps,Physics,Software Developer,69422,Develop and maintain software applications.,High,DSA-OOPs-Databases-APIs
BSc Computer Science,"Node.js, Java, Cybersecurity, C++",Game Design,Exploring Open Source,Automating Processes,Physics,AI Engineer,85972,Develop AI-powered applications.,Medium,AI-ML-NLP-DeepLearning
B.Tech CSE,"Node.js, Data Structures, Linux, JavaScript",UI/UX Design,Reading Tech Blogs,Developing Web Apps,Electronics,Blockchain Developer,111271,Develop blockchain-based applications.,High,SmartContracts-Web3-Cryptography
MTech Data Science,"Kubernetes, Networking, React, Node.js",Ethical Hacking,Designing,Working with Data,Information Technology,Blockchain Developer,146583,Develop blockchain-based applications.,Medium,SmartContracts-Web3-Cryptography
B.E Information Science,"JavaScript, Data Structures, AWS, DevOps",Web Development,Designing,Designing User Experiences,Mathematics,AI Engineer,147453,Develop AI-powered applications.,High,AI-ML-NLP-DeepLearning
MTech Data Science,"CSS, SQL, Kubernetes, HTML",AI,Exploring Open Source,Securing Networks,Data Science,QA Automation Engineer,114076,Write automated test suites.,Medium,Selenium-PyTest-API Testing
12th,"Networking, Deep Learning, Azure, Python",Game Design,Competitive Programming,Securing Networks,Data Science,AI Engineer,117140,Develop AI-powered applications.,Very High,AI-ML-NLP-DeepLearning
B.Tech IT,"Python, Deep Learning, AWS, JavaScript",Machine Learning,Competitive Programming,Building Intelligent Systems,Electronics,Data Scientist,66092,Analyze and model data for insights.,Very High,Statistics-ML-DataVisualization
12th,"C++, Machine Learning, Linux, Cybersecurity",AI,Coding,Creating Technology,Electronics,AR/VR Developer,142718,Create immersive AR/VR experiences.,Very High,Unity-3D Modeling-ARKit-VRSystems
12th,"Python, AWS, Networking, Docker",App Development,Reading Tech Blogs,Designing User Experiences,Physics,Cybersecurity Analyst,129515,Monitor and protect systems from cyber threats.,Medium,NetworkSecurity-Firewalls-EthicalHacking
MCA,"Cloud Computing, Machine Learning, Kubernetes, DevOps",Software Engineering,Building Projects,Solving Problems,Data Science,UI/UX Designer,97400,Design seamless user experiences.,High,Wireframing-Prototyping-DesignTools
BCA,"Machine Learning, Java, CSS, JavaScript",Software Engineering,Competitive Programming,Securing Networks,Physics,Machine Learning Engineer,84987,Build and deploy ML models.,Very High,ML-DeepLearning-ModelDeployment
BSc Computer Science,"HTML, Node.js, Linux, Deep Learning",Ethical Hacking,Exploring Open Source,Designing User Experiences,Mathematics,Data Scientist,60281,Analyze and model data for insights.,Very High,Statistics-ML-DataVisualization
B.E Information Science,"Automation, Azure, Linux, Java",Cloud Computing,Coding,Solving Problems,Physics,Cybersecurity Analyst,141723,Monitor and protect systems from cyber threats.,Medium,NetworkSecurity-Firewalls-EthicalHacking
BSc Computer Science,"Data Structures, AWS, C++, HTML",Ethical Hacking,Designing,Securing Networks,Mathematics,DevOps Engineer,89062,Automate CI/CD pipelines and system deployments.,Medium,Linux-CI/CD-Docker-Kubernetes
B.Tech IT,"C++, JavaScript, DevOps, Python",Networking,Reading Tech Blogs,Working with Data,Computer Science,AR/VR Developer,105147,Create immersive AR/VR experiences.,High,Unity-3D Modeling-ARKit-VRSystems
BSc Information Technology,"DevOps, HTML, SQL, Machine Learning",App Development,Coding,Building Intelligent Systems,Computer Science,Full Stack Developer,140004,Build both frontend and backend systems.,High,HTML-CSS-JS-React-Node-APIs
MSc Computer Science,"Java, JavaScript, AWS, Cloud Computing",AI,Debugging,Securing Networks,Data Science,Data Scientist,129708,Analyze and model data for insights.,High,Statistics-ML-DataVisualization
B.E Information Science,"Networking, Cybersecurity, C++, Linux",Game Design,Competitive Programming,Developing Web Apps,Physics,Mobile App Developer,125228,Create mobile applications.,Very High,Android-iOS-ReactNative
B.E Information Science,"Kubernetes, Machine Learning, Python, JavaScript",AI,Designing,Solving Problems,Computer Science,Blockchain Developer,148605,Develop blockchain-based applications.,High,SmartContracts-Web3-Cryptography
B.Tech CSE,"JavaScript, CSS, Java, Docker",App Development,Gaming,Designing User Experiences,Data Science,Machine Learning Engineer,105222,Build and deploy ML models.,Medium,ML-DeepLearning-ModelDeployment
